WKT,Name,Detail,Number,Size,Latitude,Longitude,URL,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5
"POINT (138.3796251 34.9254885)",official BAR,ビール、アルコール類,1,8.0,34.9254885,138.3796251,,,,,,
"POINT (138.3801341 34.9253714)",キャプテンジャーク,ジャークチキン ライスアンドピーズ ジャークチキンオーバーライス,2,3.0,34.9253714,138.3801341,,https://drive.google.com/open?id=1fx2Icxc90GjGxV5XqOrAAbeaGscQYgK1, https://drive.google.com/open?id=1QCFqJPhY2jbcfwaDluvygF4iwulPBjSq, https://drive.google.com/open?id=1gu0dLh0YHGmbCqSgdwoFafWF21yA7vvU, https://drive.google.com/open?id=1Yrzmo2320sgDhZZxRin18aHvQ08yFtht, https://drive.google.com/open?id=16z3MM6PfzvwdFYa_81D2BOnKfBqOuKml
"POINT (138.3800838 34.9253505)",GREEDY TACOS,TACOS、チキンオーバーライス、ナチョス、,3,3.0,34.9253505,138.3800838,https://www.instagram.com/greedy_tacos57?igsh=a3hvd3RldHJ4OWJm,https://drive.google.com/open?id=1af-K6kazIGzAJ5UEdq9hHpkh228LDNgL, https://drive.google.com/open?id=1_XlF-wA4QHNCOBujllWuawuJx7zmhZ2G, https://drive.google.com/open?id=1Q7a5t1hw5rvJR9JHZmKtvkMsqhj87LyI, https://drive.google.com/open?id=1by5grk1hFkTjT_c61U0Z3JnW2wo1GbNC, https://drive.google.com/open?id=1pjHIXyD19O0tJRsXqgGfC6qnvgkCURUS
"POINT (138.3800422 34.9253351)",Enishi,大串焼き　唐揚げ　フライドポテト　オムそば　ホルモン焼きそば　海鮮焼き　シャーピン,4,3.0,34.9253351,138.3800422,,https://drive.google.com/open?id=1RU_1MwCZOswYMfQDIA0OhFJtxuFRTEuj, https://drive.google.com/open?id=15TjxCJrVsOPgeJ5pzkmAB3VMvgBdTl_E,,,
"POINT (138.379998 34.9253225)",TACOCAFE,こだわりのたこやき,5,3.0,34.9253225,138.379998,TACOCAFE.jp,https://drive.google.com/open?id=1HquOvSnFntGoYXFJoq4khb0zN-4fwC3g,,,,
"POINT (138.3799544 34.9253109)",3 mile Cafe,ロングポテト　チュロス等,6,3.0,34.9253109,138.3799544,,,,,,
"POINT (138.3799101 34.9252978)",晴レノ日ノ,バイン・ミー　フォー　無農薬自家菜園ホーリーバジルのガパオライス,7,3.0,34.9252978,138.3799101,@harenohi.no,https://drive.google.com/open?id=14YBwzmlmfL2VdehpBnaOJacHVQiNH3DT, https://drive.google.com/open?id=1SYg4TrJQuBfxHqPAfL4g6Isziglk-rmG, https://drive.google.com/open?id=15YIQBaoUe26a2cvJKhUftuenX2m86qbc, https://drive.google.com/open?id=12FGUk38vjDMwqYkJ7bnPVeBLzpZDqRTl, https://drive.google.com/open?id=1mt6C5SKlgzHJgVB_yZzIQi8tDHkra5zC
"POINT (138.3798605 34.9252846)",うまいもんでぶ屋,魔法の粉をかけたフライドポテト、ふりふりポテト、肉巻きおにぎり、でぶサンド、チュロス、かき氷、トロピカルジュース等,8,3.0,34.9252846,138.3798605,,https://drive.google.com/open?id=1mW7RYE4I2aYL4dB1ka9a4-GrqnZE5MrW, https://drive.google.com/open?id=1t7zr97thUpOjVk2n7iFpRUO2XuT99gJJ, https://drive.google.com/open?id=1cmBPSAMUYGVit4feblo3NNrKXq63khHa,,
"POINT (138.3798095 34.9252714)",篠原商店,鶏のからあげ、さといものからあげ、とり皮のからあげ,9,3.0,34.9252714,138.3798095,https://www.instagram.com/wasouzaishinoharasyouten/,https://drive.google.com/open?id=1MsgCQ9hjKy7aKE9nk1dAs3_FkAlwZWZB, https://drive.google.com/open?id=1rHejHY54TApNevWlATKHkRgNuaQwm83m, https://drive.google.com/open?id=1hQGABK5kEueNxOCPXlsCQAY26aeneo7k, https://drive.google.com/open?id=1EUMqqpx59g-UG4TmH2TX6pV1URDGf0uD,
"POINT (138.3797572 34.9252582)",Mr.Potato Farm,フレンチフライ・サツマイモチップス・大学芋,10,3.0,34.9252582,138.3797572,Instagram @mr.potatofarm,https://drive.google.com/open?id=1ZaNPRlInkjce1fOQx2xSg08lsUNUg18U, https://drive.google.com/open?id=1i1o2VoGIQMyFazUOujvsc_w8aBpqPv3T, https://drive.google.com/open?id=1O4bQTFrlvRPQCveteHvDMxeO5CtRZ_gw, https://drive.google.com/open?id=1DnXMzwVCxUIoJZTSfF7A7QL3EvFUHPrS, https://drive.google.com/open?id=1AOmWiHjyJeKgN0xJKLktAflkYmn8EJvj
"POINT (138.3797049 34.9252428)",テキーラダイナー,ハンバーガー、ホットドッグ、ステーキ,11,3.0,34.9252428,138.3797049,https://tequilasdiner.owst.jp/,https://drive.google.com/open?id=1hP_oaePoOo-j63J0O_m0PELSaiXjolbh, https://drive.google.com/open?id=19yxkwjEKngaoY-9wVEknQymgd9aNKY-l,,,
"POINT (138.3796526 34.9252323)",B.B.garden,カレー,12,3.0,34.9252323,138.3796526,,,,,,
"POINT (138.3795996 34.9252219)",29CHORI veg+,静岡もつ焼きそば、ホルモン焼き,13,3.0,34.9252219,138.3795996,https://www.instagram.com/gido_29chori,https://drive.google.com/open?id=1Lszm21f7VJ4KyTrxhCKVpHz37bxgT9Ll, https://drive.google.com/open?id=1VUDzEzd0UXUvRUm2sj8cYPqU9Sig_H-G, https://drive.google.com/open?id=1PbIlQv8eM-WuRVzvng2GHvduNrf1hqkn, https://drive.google.com/open?id=1z5SWcj2ZVyHxckx4DZo_n7Gg7vLRNqcD,
"POINT (138.3795561 34.9252131)",スレイジースタンド,ポテトボール（新感覚　揚げじゃがバター）、オリジナルドリンク（フルーツエイド他）,14,3.0,34.9252131,138.3795561,https://www.instagram.com/srazystand?igsh=MWxwcWgyOW96dmVrYw==,https://drive.google.com/open?id=1-zlFLcp9yrNIyBmr2eT8BPjWwA3Udz2t, https://drive.google.com/open?id=1zfghecH-od-IzGl6G74N3Yh_baYXLrL1, https://drive.google.com/open?id=1S-83MOkkWbVoVK4UAj611Lpg9RAPzSKh,,
"POINT (138.3795138 34.9251966)",MIKAKOFFEE,朝霧牛乳のカフェラテ、コーヒー、自家製シロップのドリンク各種、自家製ティラミス、朝霧牛乳のプリン各種、焼き菓子各種、自家焙煎コーヒー豆,15,3.0,34.9251966,138.3795138,https://www.instagram.com/mikakoffee/profilecard/?igsh=MTRoNWs5cGg0eGNneA==,https://drive.google.com/open?id=18XsoYsG-WTs6jBRAp50P0A7xQs4gBzRj, https://drive.google.com/open?id=1klp9OaHzhMufopTj6yVmntR1lqL_OoCx, https://drive.google.com/open?id=1VAGWpR_rfs6UZVRmpes9UpdhxwVuO0Mt, https://drive.google.com/open?id=1Z5rHhwhjub_07NkTQolb7V_ub-cpUkJ7,
"POINT (138.3794669 34.925179)",安寧,長岡式酵素玄米、オーガニックドリンク、燻製各種,16,3.0,34.925179,138.3794669,https://www.instagram.com/annei_shizuoka?igsh=MThsOWMyZDg1c3VyaA%3D%3D&utm_source=qr,https://drive.google.com/open?id=1TTDSlIGs3NLUzrCgKTwJXaGCIPWux97L, https://drive.google.com/open?id=1AyOLiI94INeHzfxdSpjBuzrDyI6l0ktg, https://drive.google.com/open?id=1hUBt4H-HVpLpEbbCpcsEAabaMO-Ri5l6,,
"POINT (138.3794166 34.9251603)",BLOOM,コーヒー、ハンバーガーなど,17,3.0,34.9251603,138.3794166,bloom_work.fitness,https://drive.google.com/open?id=1pfQRzE42Bq_aZcIdjMTePIFRJ4qHiQgC, https://drive.google.com/open?id=1qrGtpPpVjVYCw2iai7Uphvch3aqnmU9R, https://drive.google.com/open?id=1_6c7Kxlw-c2zkhTDmFQSsJulrTi6HTCg, https://drive.google.com/open?id=1q64XoIE2sPBQVbxXnXvl7RRfxQIN8SiV,
"POINT (138.379371 34.9251427)",串焼亭,静岡県産黒毛和牛牛串、はらみ串、牛タン串、かき氷,18,3.0,34.9251427,138.379371,,https://drive.google.com/open?id=1ar5TUuJp5KN2dd6W7RHgbdd8NFFZoQL5, https://drive.google.com/open?id=1JvlWRUuTNuI-O0rvm4edKFOnQkXUg4Ec, https://drive.google.com/open?id=17j3Z0MoQm9Ss3-cjSXD7MWNAk0iSkz_P, https://drive.google.com/open?id=1_bcBEenrPBhmsvriQBk0rWpjS7wtVOfO,
"POINT (138.3793301 34.9251185)",T’s green,揚げ団子、かりんとう饅頭、抹茶ラテ等,19,3.0,34.9251185,138.3793301,@ts.green_2013,https://drive.google.com/open?id=1f3ruBPSNX_xCEDwm8zGdmrBXMMKVPHQI, https://drive.google.com/open?id=1jliKTaXZCjxqNYBZ8I6Bpebcpata_muY, https://drive.google.com/open?id=1WgrIXoMIuxX8NodKlOEfxZT0_01Gt4PE, https://drive.google.com/open?id=1lBhjoUQCugLhR-EkVBxyOX6vCf_QP3lT,
"POINT (138.3792778 34.9250998)",とらさんキッチン,富士山焼きそば、マーボー焼きそば、燻製セット、炊き込みご飯、惣菜各種,20,3.0,34.9250998,138.3792778,torasankitchen78@instagram.jp,https://drive.google.com/open?id=1yNBRM_oIYq2LeO5ZiYAv6_91yTBlgLv1, https://drive.google.com/open?id=1R1VNGMBf7giCga4tfamCCos2KFv2TL1l,,,
